name,hidden,dropout,lr,weight_decay,epochs_planned,best_val_mse,best_epoch,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2
v6_128_128,"(128, 128)",0.2,0.0007,0.0005,500,32.808719635009766,411,4.680246829986572,7.75283670425415,6.341826650010947,10.492687040183853,0.8261290788650513,0.5477831363677979
v6_128_64_lowlr,"(128, 64)",0.2,0.0003,0.003,800,54.404178619384766,794,5.452224254608154,7.830719470977783,7.3018959300707635,10.508673219278913,0.769500732421875,0.5464041233062744
v6_256_64_32,"(256, 64, 32)",0.2,0.0007,0.0005,500,23.267654418945312,423,4.277796745300293,7.78291130065918,5.757654154242271,10.51400549378958,0.8566856980323792,0.5459436774253845
v6_64,"(64,)",0.0,0.002,0.0001,400,42.73981857299805,400,5.463502883911133,7.869022846221924,7.251638819188725,10.523377688095614,0.7726627588272095,0.5451338291168213
v6_256_256_128_64,"(256, 256, 128, 64)",0.3,0.0003,0.0003,600,28.839902877807617,595,4.108544826507568,7.744502067565918,5.5086316088061364,10.52343605001846,0.8688145279884338,0.5451287627220154
v6_128_64,"(128, 64)",0.1,0.001,0.0001,400,36.487449645996094,397,4.371335983276367,7.800926208496094,5.931693038231554,10.58466500942833,0.8478907346725464,0.5398201942443848
v6_128_64_lowlr,"(128, 64)",0.2,0.0003,0.001,800,62.896644592285156,711,5.657044410705566,7.924400329589844,7.494489298313081,10.596224605542924,0.7571811676025391,0.5388144850730896
v6_256_256,"(256, 256)",0.3,0.0007,0.0005,500,35.83725357055664,431,3.774257183074951,7.793422222137451,5.110201240951521,10.597245531457876,0.8871051073074341,0.5387256145477295
v6_128_64_32,"(128, 64, 32)",0.2,0.001,0.0001,400,31.562734603881836,394,4.5391154289245605,7.98621940612793,6.037396871187499,10.61063985349545,0.8424211740493774,0.5375587940216064
v6_64_32_16,"(64, 32, 16)",0.1,0.0007,0.0001,500,52.99659729003906,348,5.671619415283203,7.786478042602539,7.553745972466425,10.61916343598111,0.7533261775970459,0.5368155837059021
v6_256_256_lowlr,"(256, 256)",0.3,0.0005,0.001,800,19.349708557128906,762,2.8984596729278564,7.900304317474365,4.0417209634705875,10.656115399626463,0.9293794631958008,0.5335864424705505
v6_256_128,"(256, 128)",0.2,0.002,0.0001,400,24.656558990478516,246,4.170200824737549,7.725639820098877,5.601971939850125,10.656198809100834,0.8643311262130737,0.5335791110992432
v6_128_64_lowlr,"(128, 64)",0.2,0.0003,0.001,800,42.0672492980957,788,5.227191925048828,8.061830520629883,7.007430084239018,10.66384536466212,0.7877166867256165,0.5329095125198364
v6_512_256,"(512, 256)",0.4,0.0003,0.001,600,35.341766357421875,598,4.01239013671875,7.80599308013916,5.441815647736085,10.678890218045249,0.8719775676727295,0.5315905809402466
v6_256_256_128_64,"(256, 256, 128, 64)",0.3,0.0007,0.0003,600,42.92057800292969,161,5.350843906402588,7.87663459777832,7.188112979126274,10.682501086719975,0.776628315448761,0.5312738418579102
v6_128_64_32,"(128, 64, 32)",0.2,0.001,0.0001,400,40.92301940917969,347,4.621993541717529,7.890650272369385,6.289348790067617,10.68652660554931,0.828994631767273,0.5309205055236816
v6_256_128_64,"(256, 128, 64)",0.2,0.0003,0.0002,500,37.709312438964844,424,4.5789408683776855,8.089909553527832,6.126507943262411,10.691051941402657,0.8377351760864258,0.5305231213569641
v6_128_128,"(128, 128)",0.2,0.0007,0.0005,500,39.63337707519531,403,4.765055179595947,7.912283897399902,6.45668208844981,10.693942799438206,0.8197741508483887,0.530269205570221
v6_512_256,"(512, 256)",0.4,0.0005,0.001,600,31.132474899291992,313,4.841231822967529,7.888155460357666,6.522499757169439,10.6975268348951,0.8160810470581055,0.5299543142318726
v6_512,"(512,)",0.4,0.0007,0.001,500,56.338600158691406,472,5.405559062957764,7.864996433258057,7.2098024080372305,10.70018956381896,0.7752782702445984,0.5297202467918396
v6_256_128_64,"(256, 128, 64)",0.2,0.0003,0.0005,500,45.52901840209961,484,4.482944488525391,7.952425003051758,6.1497157705732945,10.71582347188792,0.8365035057067871,0.528344988822937
v6_128_64,"(128, 64)",0.1,0.001,0.0001,400,27.434589385986328,400,4.04685115814209,7.870903968811035,5.440770185309299,10.728894474070579,0.872026801109314,0.5271936655044556
v6_128_128_64,"(128, 128, 64)",0.25,0.0007,0.0003,500,35.834136962890625,315,4.800474643707275,7.8937087059021,6.532989124391228,10.733583557181818,0.8154890537261963,0.5267802476882935
v6_128_128_64_32,"(128, 128, 64, 32)",0.25,0.0001,0.0005,600,73.59790802001953,600,6.735776424407959,8.302373886108398,8.729398179606942,10.733959917374971,0.6705671548843384,0.5267471075057983
v6_64_32_16,"(64, 32, 16)",0.1,0.0007,0.0001,500,68.09322357177734,321,5.8574676513671875,8.122119903564453,7.822435576727416,10.74983002284313,0.7354655265808105,0.5253466367721558
v6_128_128_64_32,"(128, 128, 64, 32)",0.25,0.0003,0.0005,600,53.904296875,483,5.462579250335693,7.912391662597656,7.289897188107909,10.755710593157922,0.7702575922012329,0.524827241897583
v6_256_256_lowlr,"(256, 256)",0.3,0.0001,0.003,800,73.42232513427734,800,6.066318511962891,8.279723167419434,7.964670371151197,10.774899057858095,0.7257580757141113,0.5231302976608276
v6_256_64_32,"(256, 64, 32)",0.2,0.0007,0.0002,500,58.70075988769531,269,4.915788173675537,7.813658237457275,6.740619782157085,10.785245381739626,0.8035744428634644,0.5222140550613403
v6_128_128_64_32,"(128, 128, 64, 32)",0.25,0.0007,0.0005,600,73.53972625732422,176,5.9569878578186035,8.05077075958252,7.867416605790764,10.788949356756488,0.7324144840240479,0.5218858122825623
v6_256_256_lowlr,"(256, 256)",0.3,0.0005,0.001,800,25.114103317260742,545,3.759983777999878,7.911944389343262,5.145306806100706,10.79337590844387,0.8855486512184143,0.5214933753013611
v6_512_256,"(512, 256)",0.2,0.0003,0.001,600,14.99832534790039,581,3.154061794281006,8.075325012207031,4.339285333040233,10.80602586556798,0.9185980558395386,0.5203710794448853
v6_128,"(128,)",0.1,0.003,0.0002,400,41.71072006225586,378,4.526925086975098,7.972733020782471,6.09993082226159,10.809791887310904,0.8391399383544922,0.5200366973876953
v6_256_256_128_64,"(256, 256, 128, 64)",0.3,0.0001,0.0003,600,57.49089813232422,440,6.025186538696289,8.089394569396973,7.999637595551204,10.82374931316944,0.7233447432518005,0.518796443939209
v6_256,"(256,)",0.3,0.004,0.0003,400,26.942794799804688,399,3.8609039783477783,7.9927978515625,5.193581750304382,10.830408689443399,0.8833909630775452,0.5182041525840759
v6_128_128_64,"(128, 128, 64)",0.25,0.0003,0.0003,500,66.09447479248047,471,5.596301555633545,7.962809085845947,7.3611172114253005,10.837106566014036,0.7657466530799866,0.5176080465316772
v6_256,"(256,)",0.3,0.001,0.0003,400,54.82895278930664,385,5.646312713623047,8.019499778747559,7.479047117278424,10.866512099338873,0.7581807374954224,0.5149866342544556
v6_256_128,"(256, 128)",0.2,0.002,0.0001,400,29.16853141784668,279,3.942542791366577,8.087459564208984,5.328239014599862,10.986476908714762,0.8772657513618469,0.504218578338623
v6_256_256,"(256, 256)",0.3,0.0007,0.0005,500,16.054121017456055,497,3.336796998977661,8.360811233520508,4.526747788576456,11.16813851141087,0.9114128351211548,0.48768752813339233
v6_128,"(128,)",0.1,0.001,0.0002,400,69.28260040283203,394,6.149169445037842,8.281281471252441,8.1150371798394,11.17441036025678,0.7153053283691406,0.48711198568344116
v6_64,"(64,)",0.0,0.001,0.0001,400,80.1159896850586,400,7.018935680389404,8.286046028137207,9.095182011121585,11.22165007019251,0.6423805952072144,0.482766330242157
v6_64_64_32,"(64, 64, 32)",0.1,0.001,0.0001,400,56.49794387817383,219,5.477185249328613,8.317955017089844,7.278035121311986,11.223898553652193,0.7710046768188477,0.4825590252876282
v6_64_64_32,"(64, 64, 32)",0.1,0.005,0.0001,400,28.816314697265625,378,3.792067766189575,8.383572578430176,4.98027764645617,11.318413806221576,0.8927726745605469,0.473807692527771
